Subject Age Group,Weapon Type,Officer YOB,Officer Gender,Officer Race,Subject Perceived Race,Subject Perceived Gender,Initial Call Type,Arrest Flag,Frisk Flag,Reported_year
26 - 35,None,1981,Female,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
18 - 25,None,1990,Male,White,White,Male,AUTO RECOVERY,0,1,2016
26 - 35,None,1978,Male,White,White,Female,DISTURBANCE,0,0,2016
36 - 45,None,1986,Male,White,Black or African American,Male,ASLT - DV CRITICAL,0,1,2016
56 and Above,None,1978,Male,White,Black or African American,Male,DISTURBANCE,0,0,2016
26 - 35,None,1993,Male,Two or More Races,White,Male,OBS - FIGHT - VERBAL/ORAL (NO WEAPONS),0,0,2016
36 - 45,None,1989,Female,White,White,Male,FIGHT - PHYSICAL (NO WEAPONS),0,0,2016
26 - 35,None,1978,Male,White,White,Female,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
18 - 25,None,1978,Male,Hispanic,White,Male,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0,1,2016
26 - 35,None,1987,Female,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
36 - 45,None,1978,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
26 - 35,None,1989,Female,White,Black or African American,Male,FOLLOW UP,0,0,2016
36 - 45,None,1978,Male,White,White,Male,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,0,2016
26 - 35,None,1992,Female,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1956,Male,White,Multi-Racial,Male,PROPERTY - DAMAGE,0,0,2016
26 - 35,Lethal Cutting Instrument,1967,Male,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
46 - 55,None,1993,Male,Two or More Races,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
26 - 35,None,1963,Male,White,Black or African American,Male,DISTURBANCE,0,0,2016
26 - 35,None,1964,Male,White,White,Male,THEFT OF SERVICES,0,0,2016
46 - 55,None,1971,Male,White,White,Male,HAZ - POTENTIAL THRT TO PHYS SAFETY,0,0,2016
18 - 25,None,1984,Female,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2016
36 - 45,None,1968,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
46 - 55,None,1993,Male,Two or More Races,Black or African American,Female,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
36 - 45,None,1969,Male,White,American Indian or Alaska Native,Male,SEX IN PUBLIC PLACE (INCL MASTURBATION),0,0,2016
36 - 45,None,1986,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
18 - 25,None,1974,Male,White,Black or African American,Male,SHOPLIFT - THEFT,0,0,2016
56 and Above,None,1992,Female,Two or More Races,American Indian or Alaska Native,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
36 - 45,None,1964,Male,American Indian or Alaska Native,White,Male,TRESPASS,0,0,2016
26 - 35,None,1981,Male,White,White,Male,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,0,0,2016
26 - 35,None,1964,Male,American Indian or Alaska Native,Black or African American,Female,TRESPASS,0,0,2016
26 - 35,None,1984,Female,White,Multi-Racial,Male,"LEWD -  (EXPOSING, FLASHING)",0,0,2016
36 - 45,None,1971,Male,American Indian or Alaska Native,White,Male,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",0,1,2016
26 - 35,None,1987,Male,Two or More Races,White,Male,TRESPASS,0,0,2016
26 - 35,None,1979,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2016
46 - 55,None,1987,Male,Two or More Races,White,Male,TRESPASS,0,0,2016
18 - 25,None,1973,Male,White,Black or African American,Male,TRAFFIC STOP - OFFICER INITIATED ONVIEW,0,1,2016
26 - 35,None,1971,Male,White,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
36 - 45,Lethal Cutting Instrument,1991,Male,White,White,Male,DISTURBANCE,0,1,2016
26 - 35,None,1990,Female,White,American Indian or Alaska Native,Female,SERVICE - WELFARE CHECK,0,0,2016
26 - 35,None,1971,Male,White,American Indian or Alaska Native,Male,WARRANT - FELONY PICKUP,0,0,2016
26 - 35,None,1981,Male,Hispanic,Black or African American,Male,SHOPLIFT - THEFT,0,1,2016
26 - 35,None,1988,Male,White,Unknown,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
26 - 35,None,1981,Male,White,White,Male,BURG - OCCUPIED RESD,0,0,2016
26 - 35,None,1987,Male,Two or More Races,Hispanic,Male,TRESPASS,0,0,2016
36 - 45,None,1981,Male,White,White,Female,BURG - OCCUPIED RESD,0,0,2016
26 - 35,Lethal Cutting Instrument,1976,Male,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
18 - 25,None,1981,Male,White,White,Male,SHOTS HEARD - IN PROGRESS,0,1,2016
18 - 25,None,1991,Male,White,White,Male,DISTURBANCE - DV CRITICAL,0,1,2016
18 - 25,Handgun,1985,Male,White,Unknown,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
18 - 25,None,1992,Female,White,Black or African American,Male,WARRANT - FELONY PICKUP,0,0,2016
26 - 35,"Club, Blackjack, Brass Knuckles",1988,Male,White,Black or African American,Female,DISTURBANCE - DV CRITICAL,0,1,2016
46 - 55,None,1979,Male,White,Black or African American,Male,DISTURBANCE,0,0,2016
56 and Above,None,1992,Female,White,Black or African American,Male,WARRANT - FELONY PICKUP,0,0,2016
26 - 35,None,1987,Male,Two or More Races,White,Male,TRESPASS,0,0,2016
18 - 25,Lethal Cutting Instrument,1981,Male,White,White,Male,SHOTS HEARD - IN PROGRESS,0,1,2016
26 - 35,None,1984,Male,White,Asian,Male,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,1,2016
36 - 45,None,1977,Male,White,White,Female,DISTURBANCE - DV CRITICAL,0,0,2016
26 - 35,None,1988,Male,Black or African American,Black or African American,Male,TRESPASS,0,0,2016
36 - 45,None,1983,Male,White,White,Female,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
36 - 45,None,1987,Male,Asian,White,Male,"ANIMAL - INJURED, DEAD HAZARD, OTHER",0,1,2016
36 - 45,None,1993,Male,Two or More Races,White,Male,DISTURBANCE,0,0,2016
36 - 45,None,1977,Male,White,White,Male,DISTURBANCE - DV CRITICAL,0,0,2016
36 - 45,None,1992,Male,White,White,Male,DISTURBANCE - DV - NO ASLT,0,1,2016
46 - 55,None,1986,Male,White,White,Male,DISTURBANCE - DV CRITICAL,0,1,2016
36 - 45,None,1974,Female,White,Unknown,Male,SHOPLIFT - THEFT,0,0,2016
26 - 35,None,1963,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,1,2016
36 - 45,None,1967,Male,White,Black or African American,Male,DISTURBANCE,0,1,2016
46 - 55,None,1986,Male,Declined to Answer,White,Male,FRAUD,0,0,2016
36 - 45,Lethal Cutting Instrument,1994,Male,White,White,Female,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
26 - 35,None,1987,Male,White,Multi-Racial,Female,PROPERTY - DAMAGE,0,0,2016
18 - 25,None,1986,Male,Declined to Answer,White,Male,FRAUD,0,0,2016
18 - 25,None,1982,Male,Declined to Answer,American Indian or Alaska Native,Male,DISTURBANCE - DV CRITICAL,0,0,2016
36 - 45,None,1983,Male,White,Asian,Male,ASLT - DV CRITICAL,0,0,2016
56 and Above,Handgun,1986,Male,White,Black or African American,Male,TRAFFIC - ROAD RAGE,0,1,2016
26 - 35,None,1962,Male,White,White,Male,TRESPASS,0,0,2016
46 - 55,None,1971,Male,White,Unknown,Male,"PANHANDLING, AGGRESSIVE",0,0,2016
18 - 25,None,1985,Male,Asian,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
46 - 55,None,1979,Male,White,White,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2016
36 - 45,None,1971,Male,White,Black or African American,Male,"PANHANDLING, AGGRESSIVE",0,0,2016
46 - 55,None,1965,Male,White,Black or African American,Female,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",0,0,2016
18 - 25,Lethal Cutting Instrument,1992,Female,White,Black or African American,Male,ROBBERY (INCL STRONG ARM),0,1,2016
26 - 35,None,1990,Male,White,White,Female,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
46 - 55,None,1971,Male,White,American Indian or Alaska Native,Male,"PANHANDLING, AGGRESSIVE",0,0,2016
26 - 35,None,1990,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
46 - 55,None,1987,Male,White,White,Male,OBS - FIGHT - VERBAL/ORAL (NO WEAPONS),0,0,2016
36 - 45,None,1990,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
36 - 45,None,1975,Male,Hispanic,White,Male,TRESPASS,0,0,2016
18 - 25,None,1983,Male,White,White,Male,FOLLOW UP,0,1,2016
26 - 35,None,1983,Male,White,Unknown,Male,ASLT - DV CRITICAL,0,0,2016
26 - 35,Lethal Cutting Instrument,1980,Male,White,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
18 - 25,None,1993,Male,White,White,Female,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2016
26 - 35,None,1987,Male,Two or More Races,White,Male,SHOPLIFT - THEFT,0,0,2016
46 - 55,Lethal Cutting Instrument,1992,Male,White,Black or African American,Male,SHOPLIFT - THEFT,0,1,2016
56 and Above,None,1970,Male,Black or African American,White,Male,NUISANCE,0,0,2016
56 and Above,None,1968,Male,White,Asian,Male,"PANHANDLING, AGGRESSIVE",0,0,2016
36 - 45,None,1979,Male,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
36 - 45,None,1976,Male,White,Unknown,Male,CARJACKING - ROBBERY,0,0,2016
26 - 35,None,1986,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
46 - 55,Lethal Cutting Instrument,1992,Male,White,White,Male,FIGHT - CRITICAL WITH WEAPONS,0,1,2016
36 - 45,Lethal Cutting Instrument,1967,Male,White,White,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
18 - 25,None,1991,Male,White,White,Female,DISTURBANCE,0,0,2016
26 - 35,None,1991,Male,White,White,Male,DISTURBANCE,0,0,2016
26 - 35,None,1990,Male,White,Hispanic,Male,ASLT - DV CRITICAL,0,0,2016
26 - 35,None,1977,Male,White,White,Female,DISTURBANCE - DV CRITICAL,0,0,2016
36 - 45,None,1983,Male,White,American Indian or Alaska Native,Male,TRESPASS,0,0,2016
18 - 25,None,1991,Male,White,White,Male,DISTURBANCE,0,0,2016
26 - 35,Lethal Cutting Instrument,1992,Male,White,White,Male,TRAFFIC STOP - OFFICER INITIATED ONVIEW,0,1,2016
26 - 35,None,1977,Male,White,White,Male,DISTURBANCE - DV CRITICAL,0,0,2016
26 - 35,None,1992,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2016
26 - 35,None,1969,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
18 - 25,None,1993,Male,White,White,Female,OBS - DOWN - CHECK FOR PERSON DOWN,0,0,2016
18 - 25,None,1969,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
36 - 45,None,1984,Female,White,White,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2016
26 - 35,None,1990,Male,White,Hispanic,Female,ASLT - DV CRITICAL,0,0,2016
18 - 25,None,1969,Male,White,White,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1986,Male,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
26 - 35,None,1969,Male,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
56 and Above,None,1969,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
36 - 45,None,1967,Female,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
46 - 55,None,1962,Male,White,White,Male,ROBBERY - CRITICAL (INCLUDES STRONG ARM),0,0,2016
26 - 35,None,1985,Male,White,White,Male,WARRANT - MISD PICKUP,0,0,2016
26 - 35,None,1988,Male,White,Black or African American,Male,SHOPLIFT - THEFT,0,1,2016
36 - 45,None,1984,Female,White,White,Male,ROBBERY - CRITICAL (INCLUDES STRONG ARM),0,1,2016
18 - 25,None,1981,Male,Hispanic,Multi-Racial,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1971,Male,White,White,Male,TRESPASS,0,0,2016
26 - 35,None,1981,Male,Hispanic,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,Lethal Cutting Instrument,1986,Male,Declined to Answer,White,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
18 - 25,None,1985,Male,White,Black or African American,Male,WARRANT - FELONY PICKUP,0,0,2016
36 - 45,None,1971,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
18 - 25,None,1981,Male,Hispanic,Multi-Racial,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1963,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
36 - 45,None,1980,Male,White,White,Male,DISTURBANCE,0,0,2016
36 - 45,None,1993,Male,Two or More Races,Black or African American,Female,ROBBERY - CRITICAL (INCLUDES STRONG ARM),0,0,2016
36 - 45,None,1986,Male,White,White,Female,BURG - OCCUPIED RESD,0,0,2016
26 - 35,None,1983,Male,Declined to Answer,Multi-Racial,Male,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2016
26 - 35,None,1979,Female,White,Black or African American,Female,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
36 - 45,Lethal Cutting Instrument,1979,Female,White,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
46 - 55,None,1984,Female,White,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
46 - 55,None,1983,Male,Two or More Races,Multi-Racial,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
26 - 35,None,1992,Female,White,Black or African American,Female,ROBBERY - CRITICAL (INCLUDES STRONG ARM),0,0,2016
26 - 35,Handgun,1969,Male,White,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
36 - 45,None,1956,Male,White,Black or African American,Male,SHOPLIFT - THEFT,0,0,2016
36 - 45,None,1986,Male,White,White,Male,BURG - OCCUPIED RESD,0,0,2016
36 - 45,None,1986,Male,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
26 - 35,None,1990,Male,Two or More Races,Black or African American,Male,DISTURBANCE,0,1,2016
46 - 55,None,1965,Male,Asian,White,Male,NUISANCE,0,0,2016
36 - 45,None,1978,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
26 - 35,Lethal Cutting Instrument,1981,Male,White,Black or African American,Male,PROPERTY - DAMAGE,0,1,2016
26 - 35,None,1992,Female,Two or More Races,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2016
26 - 35,None,1986,Male,White,White,Male,WARRANT - FELONY PICKUP,0,1,2016
36 - 45,None,1993,Male,Two or More Races,Hispanic,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
26 - 35,None,1971,Male,White,Black or African American,Female,ASLT - DV,0,0,2016
18 - 25,None,1963,Male,Hispanic,Black or African American,Male,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",0,0,2016
26 - 35,None,1988,Male,White,Black or African American,Male,ASLT - PERSON SHOT OR SHOT AT,0,1,2016
36 - 45,None,1986,Male,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
18 - 25,None,1981,Male,White,White,Male,DISTURBANCE - DV - NO ASLT,0,0,2016
56 and Above,None,1971,Male,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
26 - 35,None,1963,Male,White,Black or African American,Female,DISTURBANCE,0,0,2016
36 - 45,None,1984,Male,Two or More Races,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
18 - 25,Lethal Cutting Instrument,1990,Male,White,Other,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
46 - 55,None,1986,Male,White,White,Male,TRESPASS,0,0,2016
46 - 55,None,1983,Male,White,Black or African American,Male,TRESPASS,0,0,2016
36 - 45,None,1986,Male,White,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
36 - 45,None,1991,Female,White,White,Male,DISTURBANCE,0,0,2016
18 - 25,None,1972,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2016
18 - 25,None,1975,Male,Two or More Races,Black or African American,Female,MVC - HIT AND RUN,0,0,2016
56 and Above,None,1971,Male,White,White,Male,TRESPASS,0,0,2016
26 - 35,None,1991,Male,Declined to Answer,White,Male,OBS - MVC - WITH INJURIES (INCLUDES HIT AND RUN),0,0,2016
26 - 35,None,1990,Female,Two or More Races,Black or African American,Male,SERVICE - WELFARE CHECK,0,0,2016
26 - 35,None,1972,Male,White,American Indian or Alaska Native,Female,SHOPLIFT - THEFT,0,0,2016
36 - 45,None,1989,Male,White,Unknown,Male,HAZ - POTENTIAL THRT TO PHYS SAFETY,0,0,2016
36 - 45,None,1986,Male,White,White,Female,NUISANCE,0,0,2016
26 - 35,None,1972,Male,White,American Indian or Alaska Native,Male,SHOPLIFT - THEFT,0,0,2016
26 - 35,None,1991,Female,Black or African American,Black or African American,Male,THEFT OF SERVICES,0,1,2016
26 - 35,None,1982,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
36 - 45,None,1992,Male,White,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
36 - 45,None,1971,Male,White,White,Female,TRESPASS,0,0,2016
36 - 45,None,1973,Male,White,Black or African American,Male,WARRANT - MISD PICKUP,0,1,2016
26 - 35,None,1983,Male,White,Unknown,Male,AUTO RECOVERY,0,0,2016
26 - 35,None,1967,Male,White,Multi-Racial,Female,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
46 - 55,None,1985,Male,White,Black or African American,Female,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
46 - 55,None,1971,Male,White,Hispanic,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
18 - 25,None,1971,Male,White,Hispanic,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2016
46 - 55,Lethal Cutting Instrument,1984,Female,White,White,Male,FIGHT - CRITICAL WITH WEAPONS,0,1,2016
36 - 45,None,1992,Male,White,White,Male,BURG - OCCUPIED RESD,0,1,2016
36 - 45,None,1988,Male,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
36 - 45,Firearm Other,1987,Male,White,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
26 - 35,None,1984,Male,Two or More Races,Black or African American,Male,DISTURBANCE,0,1,2016
46 - 55,None,1985,Male,White,Unknown,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
26 - 35,None,1987,Male,Two or More Races,White,Male,DISTURBANCE,0,0,2016
18 - 25,None,1985,Male,White,White,Female,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
46 - 55,Firearm Other,1976,Female,White,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2016
36 - 45,None,1982,Male,White,White,Female,DISTURBANCE,0,0,2016
18 - 25,None,1985,Male,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
36 - 45,None,1990,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
26 - 35,None,1963,Male,White,Black or African American,Male,PROPERTY - DAMAGE,0,0,2016
26 - 35,None,1986,Female,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
26 - 35,None,1989,Female,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1968,Male,Hispanic,White,Male,DISTURBANCE - DV CRITICAL,0,1,2016
46 - 55,None,1992,Female,White,Black or African American,Male,PROPERTY - DAMAGE,0,1,2016
18 - 25,Lethal Cutting Instrument,1971,Male,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2016
26 - 35,None,1984,Female,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
18 - 25,None,1991,Male,Hispanic,Black or African American,Male,ORDER - CRITICAL VIOLATION OF DV COURT ORDER,0,0,2016
26 - 35,None,1991,Male,White,White,Male,TRESPASS,0,0,2016
26 - 35,Lethal Cutting Instrument,1993,Male,Two or More Races,Black or African American,Male,DISTURBANCE,0,1,2016
18 - 25,None,1989,Female,White,Asian,Male,SHOPLIFT - THEFT,0,0,2016
26 - 35,None,1983,Male,White,White,Male,SHOPLIFT - THEFT,0,1,2016
26 - 35,None,1958,Male,Black or African American,Black or African American,Male,SHOPLIFT - THEFT,0,1,2016
18 - 25,None,1973,Male,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
56 and Above,Handgun,1984,Male,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,1,2016
36 - 45,None,1982,Male,White,White,Female,SHOPLIFT - THEFT,0,0,2016
46 - 55,None,1978,Male,White,Black or African American,Male,TRAFFIC STOP - OFFICER INITIATED ONVIEW,0,0,2016
36 - 45,None,1990,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2016
18 - 25,None,1992,Male,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
46 - 55,None,1971,Male,White,White,Male,DISTURBANCE,0,0,2016
26 - 35,None,1983,Male,White,White,Female,THEFT OF SERVICES,0,0,2016
26 - 35,None,1959,Male,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,0,2016
46 - 55,None,1984,Male,White,White,Male,TRAFFIC STOP - OFFICER INITIATED ONVIEW,0,0,2016
46 - 55,Lethal Cutting Instrument,1983,Male,Two or More Races,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
26 - 35,None,1982,Male,White,White,Male,PROPERTY - DAMAGE,0,0,2016
36 - 45,None,1979,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1985,Female,White,Unknown,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
18 - 25,None,1986,Male,White,White,Male,OBS - PROWLER,0,0,2016
26 - 35,None,1985,Female,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2016
26 - 35,None,1986,Male,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
18 - 25,None,1984,Male,White,White,Male,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0,0,2016
18 - 25,None,1970,Female,White,Black or African American,Male,HARAS - NO BIAS OR THREATS,0,0,2016
36 - 45,None,1987,Male,White,American Indian or Alaska Native,Male,DISTURBANCE,0,0,2016
18 - 25,None,1962,Male,White,Hispanic,Male,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0,0,2016
18 - 25,None,1981,Male,White,White,Male,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0,0,2016
18 - 25,None,1982,Male,White,Unknown,Male,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0,1,2016
18 - 25,None,1986,Female,White,White,Female,DISTURBANCE - DV - NO ASLT,0,0,2016
36 - 45,None,1971,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
18 - 25,None,1986,Female,White,White,Male,DISTURBANCE - DV - NO ASLT,0,0,2016
56 and Above,None,1965,Male,Black or African American,White,Male,MVC - HIT AND RUN,0,0,2016
36 - 45,None,1986,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2016
36 - 45,None,1986,Male,White,Unknown,Female,DISTURBANCE,0,0,2016
36 - 45,None,1986,Male,White,White,Male,DISTURBANCE,0,1,2016
18 - 25,None,1985,Female,White,White,Male,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,0,2016
36 - 45,None,1985,Female,White,White,Male,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,0,2016
26 - 35,None,1985,Female,White,White,Female,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,0,2016
36 - 45,None,1985,Male,Hispanic,Hispanic,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
26 - 35,None,1979,Male,Declined to Answer,White,Male,WARRANT - MISD PICKUP,0,0,2016
46 - 55,None,1985,Female,White,White,Male,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,0,2016
46 - 55,None,1972,Male,Hispanic,White,Male,DISTURBANCE,0,0,2016
18 - 25,None,1987,Male,Declined to Answer,Black or African American,Male,DISTURBANCE,0,0,2016
26 - 35,None,1986,Male,White,Black or African American,Male,MVC - HIT AND RUN,0,0,2016
36 - 45,None,1962,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2016
36 - 45,None,1987,Male,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2016
36 - 45,None,1967,Male,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2016
36 - 45,None,1977,Male,White,White,Female,WARRANT - MISD PICKUP,0,0,2016
26 - 35,None,1986,Male,Declined to Answer,White,Male,BURG - OCCUPIED RESD,0,0,2016
26 - 35,None,1985,Male,White,Black or African American,Female,TRESPASS,0,0,2016
18 - 25,None,1985,Male,White,Hispanic,Female,TRESPASS,0,0,2016
46 - 55,None,1985,Male,White,American Indian or Alaska Native,Female,TRESPASS,0,0,2016
36 - 45,None,1987,Male,Hispanic,Black or African American,Male,TRESPASS,0,0,2016
26 - 35,Lethal Cutting Instrument,1992,Male,White,Black or African American,Male,NUISANCE,0,1,2016
36 - 45,None,1985,Male,White,White,Male,TRESPASS,0,0,2016
26 - 35,None,1983,Male,White,Black or African American,Male,SHOPLIFT - THEFT,0,0,2016
